二级分类名称,三级分类名称,四级分类名称,咨询单内容,提供方案,处理方式,咨询方式,一级分类名称
电商售中问题,物流问题,物流信息查询及催促,用户ID：192148981  同咨询单：35489934问题YT2321909212244，我这个快递啥时候能给我答复,"提供方案：这边核实到之前的客服是已经给您进行私信回复呢关于您反馈的【快递物流】问题， 现核实为：【已经帮您反馈物流催促 】
这个是回复的内容呢",直接关单,在线,电商
电商售中问题,物流问题,物流信息查询及催促,【西安风险】【d】通话号码：13665740409  问题：商品物流 方案：估计是丢件了  看下用户的需求吧  是要求退款还是补寄呢？，已联系用户告知，用户要求退款，招行积分兑换，告知帮其记录处理，后续关注查看，无异议,-,电话,热线,电商
电商售中问题,物流问题,物流信息查询及催促,"用户ID：136743475 用户诉求：我买的耳机怎么不动了，三天都没动静了
所属供应商名称：$ 上海微意电子有限公司 $","提供方案：最新2023年4月30日 上午4:40:00
【西安市】 快件离开 【西安中转】 已发往 【乌鲁木齐中转】",直接关单,在线,电商
电商售中问题,物流问题,物流信息查询及催促,"用户ID：164195981
用户诉求：什么时候发货？
所属供应商名称：$ 上海微意电子有限公司 $","提供方案：一般下单48小时左右发货的
是否解决：18:09用户主动关闭会话",直接关单,在线,电商
电商售中问题,物流问题,物流信息查询及催促,"用户ID：187120312用户诉求：这他妈多久了还不发货？
所属供应商名称：$ xxxxxx公司 $",提供方案：预计4.30日起陆续发货这边会尽快尽快处理的哦,私信,在线,电商
电商售中问题,物流问题,物流信息查询及催促,"用户ID：391321597
用户诉求：刚拍的单子今天还能发货吗
所属供应商名称：$ xxxxxx公司 $",提供方案：下单之后3-7个工作日发货的哦,直接关单,在线,电商
电商售中问题,物流问题,物流信息查询及催促,"用户ID：459648770  用户诉求：下单了3天还没发货
所属供应商名称：$ 北京启蒙好业科技发展有限责任公司 $",提供方案：这边提交商家催促下哦,直接关单,在线,电商
电商售中问题,物流问题,物流信息查询及催促,"用户ID：464758812用户诉求：第三天了，为什么订单还在派件
所属供应商名称：$ 武汉怡荨雨商贸有限公司 $",提供方案：查看到您的快件已暂存至成都市工人村便民服务站韵达快递超市,直接关单,在线,电商
电商售中问题,物流问题,物流信息查询及催促,"用户ID：464933073订单编号：
202304244001073005807083094

店铺名称：
上海微意电子有限公司我买的耳机25号开始六天没有更新了",提供方案：这边反馈商家处理下的哦,直接关单,在线,电商
电商售中问题,物流问题,物流信息查询及催促,"用户ID：7987346
用户诉求：订单什么时候发货？
所属供应商名称：$ xxxxxx公司 $",提供方案：商品名称显示：预计4.30日起陆续发货的哈,直接关单,在线,电商
电商售前问题,商品问题,商品信息问题,"用户ID：217084458 用户诉求：假如购买了原油阳谋论这本书，可以听吗
所属供应商名称：$ 售前$",提供方案：是实物书籍，无法播放,直接关单,在线,电商
电商售前问题,商品问题,商品信息问题,"用户ID：346326751 用户诉求：是不是买了书就会送一套16本的
所属供应商名称：$ xxxxxx公司 $",提供方案：查看页面告知活动是有赠送相关商品 先到先得,直接关单,在线,电商
电商售前问题,商品问题,商品信息问题,"用户ID：401049392用户诉求：我兑换的实物，支付宝未支付，找不到支付界面

所属供应商名称：$ xxxxxx公司 $","提供方案：请提供兑换的页面截图亲    未提供

已解决",直接关单,在线,电商
电商售前问题,商品问题,商品信息问题,"用户ID：406784953 用户诉求：是正品吗？
所属供应商名称：$ xxxxxx公司 $","提供方案：喜马拉雅售卖商品都是经过严格把关，由正规渠道采购均是全新，请您放心购买。
是否解决：用户超时未回复",直接关单,在线,电商
电商售前问题,商品问题,商品信息问题,"用户ID：63936883，用户诉求：卖的口红是正品吗
所属供应商名称：$ 售前咨询 $",提供方案：商品都是正品的呢，都是有质保的哦,直接关单,在线,电商
电商售前问题,商品问题,商品信息问题,"用户诉求：391581793  想要购买眼罩 但是现在一直都没有 
所属供应商名称：$ xxxxxx公司 $   无订单",提供方案：告知目前没有商品 无法购买,直接关单,热线,电商
电商售前问题,商品问题,商品信息问题,"用户诉求：用户ID：461631750
所属供应商名称：$ xxxxxx公司 $这个OTG线怎么选不了安卓的","提供方案：但此页面无法修改 商品类型的哦

需要以页面显示为准的哦",直接关单,在线,电商
电商售前问题,活动问题,电商活动规则问题,"用户ID：391294673，用户诉求：为什么会显示已售罄啊？昨天好像还有的呀
所属供应商名称：$ 售前咨询 $",提供方案：提供下截图核实，用户未提供,直接关单,在线,电商
电商售前问题,物流问题,商品发货问题,已核实不支持，已告知用户,-,直接关单,在线,电商
电商售前问题,物流问题,商品发货问题,"用户ID：391321597，用户诉求：今天还能发货吗
所属供应商名称：$ 售前咨询 $",提供方案：核实商品用户未回复离线,直接关单,在线,电商
电商售前问题,物流问题,商品发货问题,"用户ID：462229882用户诉求：我昨天下单购买了蓝牙耳机
怎么还没有发货

所属供应商名称：$ xxxxxx公司 $","提供方案：一般是48小时的哦

已解决",直接关单,在线,电商
电商售后问题,商品问题,商品使用问题,【西安升级组】用户ID：34337294，通话号码：15805600255，问题：keep的季度会员和瑜伽垫没有兑换，方案：keep相关兑换码过期无法在兑换，，针对用户keep的季度会员和瑜伽垫，总共帮用户申请6个月喜马拉雅会员，联系用户依照方案告知，用户认可无异议。是否核实咨询单四级分类：是,-,电话,在线,电商
电商售后问题,商品问题,商品使用问题,尊敬的用户您好，关于您反馈的【炊大皇扭扭玻璃杯套装 280ml*2（炫彩色）退款】问题，现核实为：【这边帮您处理退款，货物无需寄回，辛苦等待即可】。如后续有其他疑问，您可以在喜马拉雅app内点击我的-右上角客服标识-在线客服进行咨询。感谢您的支持，祝您生活愉快！,-,私信,在线,电商
