几天了怎么还没退款,退款预计1-3个工作日原路返回到账，您注意查收,20221206 16:01:39
我的订单怎么还是没给我送货啊,催促处理,20221217 20:19:16
会员卡怎么兑换,告知兑换流程,20230105 22:24:21
乐高有几个玩具？,核实信息用户称不买了后离线,20230215 17:10:06
我已经买过教材了，他课程包里的辅导材料能给我纸质版的吗？,这个购买均以页面显示为准，无法更换的哦,20230210 20:58:04
扫描二维码后打不开网页,麻烦提供下截图或者录屏，这边看下哦,20230429 15:41:00
这个手表是官方正品吗,这边商城售卖的均是正品保证，可放心购买,20221209 11:19:48
咋还没到？物流信息咋不更新了？,已告知物流信息,20230119 18:46:08
顺丰，你好，我的退货，款项到哪了？,查看已申请退款预计1-3工作日到账,20221225 14:38:54
运费的钱是你们出还是怎么弄,运费麻烦顾客先行垫付，（三通一达快递均可，库房拒收到付件）。提供支付宝账号和支付宝实名姓名，寄厂运单号，运费支付截图。退回商品物流厂家签收后退还,20221114 15:42:26
耳机待机时间太短了,是目前最多待机多久呢,20230209 17:26:50
用户催促尽快发货辛苦核实处理,因为疫情暂时退回了呢~已经为您催促了呢~,20221206 19:39:30
耳机X2是什么意思,X2是型号哦,20230409 22:38:18
我的商品还能不能发货了,已催促，会再次尝试发货哦，可能之前因疫情导致的,20221219 11:16:16
瑜伽垫怎么没收到啊,辛苦咨询下Keep客服哦是否解决：,20230130 22:35:19
什么时候发货？,tokidoki淘奇多奇真无线蓝牙耳机已发出物流单号：YT6834702850741,20221028 12:01:33
用户再次进线催促发货，表示要开学了，辛苦看下,这边帮您再次反馈催促下哦,20230204 09:27:44
更改地址王军军电话山西省太原市杏花岭区享堂新村11号楼电商所属供应商名称：北京红阅科技有限公司,前个客服已发群故不重发,20230323 21:59:53
退款没到账,已到账，支付宝查看,20230102 13:44:21
菜罩未收到,分包发货：JT3020762350199单号,20221221 15:00:11
催促发货,这边为您催促一下呢,20221219 19:41:35
怎么写地址？,您点击购买进去后就可以填写地址哦,20230224 13:13:06
请问168那个年卡会员和nano音箱和瑜伽垫兑换券，还需要加钱去兑换吗,nano音箱和瑜伽垫兑换券是不需要额外加钱的呢~,20221214 10:52:43
之前申请换货的已经退回了厂家已签收韵达,这边为您催促一下尽快处理,20221118 16:26:57
没收到,两个均已到驿站,20221204 22:38:44
我是说纽曼这个耳机，能处理帮我处理一下，反正这个耳机我不看好，质量又差买的亏死了。,核实用户具体信息用户,20230127 11:21:37
你好，我昨天下单了波波球东方娃娃套装，订单里查不到怎么回事？,有赞的商品需要在微信公众内关注有赞商城查看的,20230207 13:02:21
少发一盒棉签，你们已经说补发了，但是我还是查不到,已告知物流信息,20230104 15:44:26
什么时候发货啊,如您当地物流没管控是下单后预计48小时内发货哦,20221206 17:27:59
催促发货,实物商品将在付款后48小时左右发货，受疫情影响，可能存在延缓发货/配送、商品无货的情况，收货地区仅限中国大陆地区，暂不支持港澳台地区及海外用户收货，给您带来的不便敬请谅解，感谢您的理解!这边为您催促一下呢~,20221201 13:41:53
这个会员开通是多久的,喜马拉雅会员是一年时间keep的会员是季卡呢,20230208 13:24:07
催促物流,催促处理,20221220 09:50:04
开一年会员有什么产品吗,您可以在喜马拉雅APP-我的-商城里面查看，选择适合您的商品,20230104 18:33:20
今天上午下的单，收货地址山西省临汾市洪洞县可以正常发货吗？,下单后预计48小时发出，如您当地没有疫情是会正常发出的,20221101 20:10:06
户诉求：带着不舒服，要退款,APP内申请，这边催促,20230223 18:05:56
退完了吗没有收到,原路退回2022-12-19这天退回的,20230106 18:26:37
问题，我这个快递啥时候能给我答复,这边核实到之前的客服是已经给您进行私信回复呢关于您反馈的【快递物流】问题，现核实为：【已经帮您反馈物流催促】这个是回复的内容呢,20230501 10:33:07
购买的无线耳机，左耳充电不太好，两秒就停了,核实确认订单，用户离线是否解决：,20221128 21:13:25
购买商品可以送会员吗,辛苦您选择商品+会员的套餐哦,20221216 20:39:06
用户再次进线确认重新补发，地址：山西省阳泉市泉西路大通御景小区杨女士，辛苦后续尽快补发,催促，用户离线,20230218 17:22:21
刚刚申请退款，刚收到音箱给我退货吧电商,已发退货地址寄出后签收可以再次联系客服催促退款,20230401 14:22:20
再次进线催促辛苦核实下处理，帮其催促,这边帮您询问下相关商家，1-3个工作日内给您短信回复,20230120 15:12:36
催发货,反馈群,20230423 11:47:41
物流显示退回，用户现在要退款,反馈催促,20221123 17:50:02
电商换了插座和数据线都不行音箱无法充电,通电后长按静麦键（麦加）杠按钮）5s。根据小雅音箱语音提示，再次点击键确认恢复出厂设置。,20230404 14:09:31
想问一下，我换购耳机能发顺丰？,核实这款不指定快递呢随机发货的哦,20230209 16:32:42
你们买手办吗？,目前没有售卖的呢,20230103 22:58:32
充电线能做数据线么？,不可以,20221203 19:09:53
退货已发出：,已登记,20230224 12:11:29
催促物流,催促处理,20221220 15:10:26
开了会员还用不了～,这个是送的实体卡的呢,20221214 22:19:33
申请退款,申请物流拦截成功后物流入库后为您处理呢，辛苦耐心等待,20221221 13:06:13
这个听书是年卡吧～这个礼盒听书是年卡吧！,带实体年卡的哈是否解决：,20221214 22:00:24
日历未发货,这边反馈催促下哦,20221208 17:07:36
新款GS6电竞游戏蓝牙耳机HIFI音质智能降噪智能手机通用，物流没有显示，用户申请退款,反馈核实,20221031 12:33:09
买的东西至今没有收到,这边查看物流在2023-04-0222:57:03[北京市]快件已由朋友签收签收网点：北京朝阳像素。如有疑问请电联：18500411746,20230418 19:34:41
你好，我的耳机什么情况了什么时候邮回来,您之前是使用那个账号进线咨询的呢未查看到记录呢,20221213 15:28:06
我前两天咨询的水壶不能烧水问题是退货还是换货,给您发私信了哦为您换货是否解决：,20221107 09:34:23
广州能发货吗,如您当地目前未存在疫情，一般下单后是48小时内发货哦,20221110 18:53:22
退款,退款预计1-3个工作日原路返回到账，您注意查收。,20230102 20:04:07
催促商品发货,反馈催促,20221219 16:44:18
我这个申请退款你们给我的回复是重新补发如果补发的还不好怎么办？还能再退吗？,先为您补发的哦如果还是有质量问题辛苦您联系我们帮您核实处理哦是否解决：,20221117 10:18:40
我在商场买了个毛巾，物流一直没有动也没有收到货,这边反馈核实下哦,20221120 15:49:14
买的东西怎么还没到？物流也一直没有更新,催促,20230102 12:09:40
买的东西一直没有收到，现在申请了退款，麻烦处理一下,可爱款202212224001616005341841209核对下订单,20230106 13:21:04
、，催促发货,催促,20221225 17:56:03
用户再次进线不愿意等待了，要求退款，辛苦拦截物流，以及看下这个情况是否可以退款，核实私信,催促,20230104 11:27:52
之前未付款，现在付不了，什么原因,您拍下页面截图这边给您看下,20221228 15:39:56
物流没有信息，现在要退款，麻烦核实下是否可以退款,催促,20221202 10:40:58
我昨天问的那个锅的问题怎么就没有答复呢电商,是可以煤气使用的哦,20230323 11:32:52
我购买的商品八天了为什么还没发货？,为您反馈催促下哦,20221212 21:23:37
烤箱可以选颜色吗,这个目前没有办法选择的哦，这个只有粉色的哦,20230217 19:31:34
你好这个是音频吗,有运费的，表示是实体书,20230203 16:06:16
这本书是音频吗,提供下您查看商品截图,20230203 15:55:53
什么时候能发货,催促发出,20230108 17:43:23
已经十多天了，什么时候能发货,商家表示今天发出，辛苦耐心等待下哈是否解决：,20230111 12:36:45
送的日历怎么找不到,点击喜马拉雅APP[我的-全部服务-订单]可查看订单，实物商品将在付款后48小时内发货，收货地区仅限中国大陆地区，暂不支持港澳台地区及海外用户收货，受疫情影响可能延缓发货，还请您了解,20221222 10:08:27
买来就是坏的,质然良品内衣裤收纳袋升级款这个具体是哪里有问题呢是否解决：,20230101 13:14:18
东西是免费退换的吗电商未下单,非质量问题需要您这边承担运费的哦~,20230405 19:21:35
