几天了怎么还没退款,退款预计1-3个工作日原路返回到账，您注意查收,20221206 16:01:39
我的订单怎么还是没给我送货啊,催促处理,20221217 20:19:16
会员卡怎么兑换,告知兑换流程,20230105 22:24:21
乐高有几个玩具？,核实信息用户称不买了后离线,20230215 17:10:06
我已经买过教材了，他课程包里的辅导材料能给我纸质版的吗？,这个购买均以页面显示为准，无法更换的哦,20230210 20:58:04
扫描二维码后打不开网页,麻烦提供下截图或者录屏，这边看下哦,20230429 15:41:00
这个手表是官方正品吗,这边商城售卖的均是正品保证，可放心购买,20221209 11:19:48
咋还没到？物流信息咋不更新了？,已告知物流信息,20230119 18:46:08
顺丰，你好，我的退货，款项到哪了？,查看已申请退款预计1-3工作日到账,20221225 14:38:54
运费的钱是你们出还是怎么弄,运费麻烦顾客先行垫付，（三通一达快递均可，库房拒收到付件）。提供支付宝账号和支付宝实名姓名，寄厂运单号，运费支付截图。退回商品物流厂家签收后退还,20221114 15:42:26
耳机待机时间太短了,是目前最多待机多久呢,20230209 17:26:50
用户催促尽快发货辛苦核实处理,因为疫情暂时退回了呢~已经为您催促了呢~,20221206 19:39:30
耳机X2是什么意思,X2是型号哦,20230409 22:38:18
我的商品还能不能发货了,已催促，会再次尝试发货哦，可能之前因疫情导致的,20221219 11:16:16
瑜伽垫怎么没收到啊,辛苦咨询下Keep客服哦是否解决：,20230130 22:35:19
什么时候发货？,tokidoki淘奇多奇真无线蓝牙耳机已发出物流单号：YT6834702850741,20221028 12:01:33
用户再次进线催促发货，表示要开学了，辛苦看下,这边帮您再次反馈催促下哦,20230204 09:27:44
更改地址王军军电话山西省太原市杏花岭区享堂新村11号楼电商所属供应商名称：北京红阅科技有限公司,前个客服已发群故不重发,20230323 21:59:53
退款没到账,已到账，支付宝查看,20230102 13:44:21
菜罩未收到,分包发货：JT3020762350199单号,20221221 15:00:11
催促发货,这边为您催促一下呢,20221219 19:41:35
怎么写地址？,您点击购买进去后就可以填写地址哦,20230224 13:13:06
请问168那个年卡会员和nano音箱和瑜伽垫兑换券，还需要加钱去兑换吗,nano音箱和瑜伽垫兑换券是不需要额外加钱的呢~,20221214 10:52:43
之前申请换货的已经退回了厂家已签收韵达,这边为您催促一下尽快处理,20221118 16:26:57
没收到,两个均已到驿站,20221204 22:38:44
我是说纽曼这个耳机，能处理帮我处理一下，反正这个耳机我不看好，质量又差买的亏死了。,核实用户具体信息用户,20230127 11:21:37
你好，我昨天下单了波波球东方娃娃套装，订单里查不到怎么回事？,有赞的商品需要在微信公众内关注有赞商城查看的,20230207 13:02:21
少发一盒棉签，你们已经说补发了，但是我还是查不到,已告知物流信息,20230104 15:44:26
什么时候发货啊,如您当地物流没管控是下单后预计48小时内发货哦,20221206 17:27:59
催促发货,实物商品将在付款后48小时左右发货，受疫情影响，可能存在延缓发货/配送、商品无货的情况，收货地区仅限中国大陆地区，暂不支持港澳台地区及海外用户收货，给您带来的不便敬请谅解，感谢您的理解!这边为您催促一下呢~,20221201 13:41:53
